author1	author2	#coauthor
Dwi H. Widyantoro	John Yen	3
Liang Ding	Xiaoxi Du	1
Yiqun Liu	Rongjing Xiang	1
Xing Wei	Chunqiang Tang	1
Ted Younglove	Daniel R. Jeske	1
Robert Frank	Gwen A. Frishkoff	1
Carlos Ordonez	Javier Garcia-Garcia	1
Gennaro Miele	Lara De Vinco	1
Bernhard Bruhl	Detlef Borscheid	1
Ruoming Jin	Feodor F. Dragan	2
Woochang Hwang	Murali Ramanathan	1
Jie Tang	Juan-Zi Li	1
Rudi Studer	Robert Engels	1
Ozden Gur-Ali	Henry Schwarz	1
Kiyoko F. Aoki-Kinoshita	Nobuhisa Ueda	1
Chang-Shing Perng	Genady Grabarnik	2
Falk Scholer	Hugh E. Williams	2
Hsiang-Lung Tung	Young Chul Park	1
Hwanjo Yu	Jiawei Han	5
Said Elnaffar	Randy Horman	1
Eemil Lagerspetz	Wray Buntine	1
Ruwei Dai	Qingliang Miao	1
Jing Li	Jieping Ye	2
Pasi Franti	Ismo Karkkainen	1
Jing Li	Eric Reiman	2
Nan Cao	Hao Lv	1
Hwanjo Yu	Duane Searsmith	1
Shuang-Hong Yang	Gu Xu	1
Heloise Lynn	Chenyi Hu	1
W. Nick Street	Samuel Burer	1
Jieping Ye	Liang Sun	2
Daoqiang Zhang	Songcan Chen	1
Dan A. Simovici	Gregory Piatetsky-Shapiro	1
Diane Lambert	Fei Chen	1
Jaturon Chattratichat	Martin Kohler	1
Myra Spiliopoulou	Yannis Theodoridis	1
Daniel A. Keim	Mike Sips	1
Gwen A. Frishkoff	Dejing Dou	1
Matthew Richardson	Mikhail Bilenko	1
Wei Ding	Heloise Lynn	1
Prem Melville	Vikas Sindhwani	1
Qigang Gao	Ji Zhang	1
Lise Getoor	Mustafa Bilgic	1
Ji-Woong Chang	Young-Koo Lee	1
Wei Fan	Deepak S. Turaga	1
R. Kurt Ungar	Nathalie Japkowicz	1
Dimitris Papadias	Dimitris Meretakis	1
Panos M. Pardalos	Haesun Park	1
Enrique Puertas Sanz	Gordon V. Cormack	1
Aixin Sun	Byron Choi	1
Venkatesan T. Chakaravarthy	Mukesh K. Mohania	1
Sreelakshmi Vaddi	Zaiqing Nie	1
Dario Colazzo	Giorgio Ghelli	1
William W. Cohen	Henry A. Kautz	1
Anthony Don	Loretta Auvil	1
Marios Hadjieleftheriou	Eamonn J. Keogh	2
DucDung Nguyen	Katsuhiko Takabayashi	1
Ravi Kumar	D. Sivakumar	2
Martha W. Evens	Byunggu Yu	1
Julia Couto	Daniel Barbara	1
Junmin Gu	Arie Shoshani	1
Rodolfo Stecher	Wolfgang Nejdl	1
Omid Madani	Oren Zamir	1
Junfeng Wang	Chun Chen	1
Li Wan	Wee Keong Ng	1
Ishwar K. Sethi	Shuo Feng	1
Ali R. Hurson	K. I. Dash	1
Hiroshi Yasuda	Terumasa Aoki	2
Christos Faloutsos	Cui Zhu	1
Sunita Sarawagi	Shiby Thomas	1
Monique V. Vieira	Altigran Soares da Silva	1
Daniel Alexander Ford	James H. Kaufman	1
Zijian Zheng	Llew Mason	2
Tzung-Pei Hong	Yeong-Chyi Lee	1
Chih-Jen Lin	Cho-Jui Hsieh	1
Jun-ichi Takeuchi	Graham J. Williams	1
Stephen J. Buckley	Shubir Kapoor	1
Robert Perneczky	Stefan Kramer	1
Henk Ernst Blok	Djoerd Hiemstra	2
Jon M. Kleinberg	Christos Faloutsos	1
Ling Huang	Michael I. Jordan	1
Wai Lup Low	Mong-Li Lee	1
Mirek Riedewald	Biswanath Panda	1
Qiang Yang	Henry Haining Zhang	1
Paul Munteanu	Mohamed Bendou	1
Ganesh Ramakrishnan	Deepa Paranjpe	1
Marcus Fontoura	Ravi Kumar	1
Jianhui Chen	Zheng Zhao	1
Giancarlo Raiconi	Angelo Ciaramella	1
Simon Fong	Serena Chan	1
Stefan Edlund	Jared Jackson	1
Abdullah Uz Tansel	Iqbal A. Goralwalla	1
Arun K. Bhunia	Bartek Rajwa	1
Hua Lu	Zhenjie Zhang	1
Ben Kao	Minghua Zhang	1
Rebecca Cathey	David A. Grossman	1
Zoubin Ghahramani	Hans-Peter Kriegel	1
Gang Luo	Xing Wei	1
Tian Zhang	Miron Livny	1
Kai Li	Qin Lv	1
Rick Greer	Mary F. Fernandez	1
Damien K. Fisher	Franky Lam	1
Kewei Chen	Eric Reiman	2
Jorg Diederich	Paul-Alexandru Chirita	1
M. Mahdi Shafiei	Evangelos E. Milios	1
Kewei Chen	Jieping Ye	2
Donna M. Nystrom	Eamonn J. Keogh	1
Jaturon Chattratichat	Yike Guo	1
Xiaofeng He	Ming Gu	2
Francois Velin	Henri Briand	1
Senqiang Zhou	Ke Wang	1
Behrokh Samadi	Lan Ye	1
Marc Najork	Nick Craswell	1
Chih-Jen Lin	S. Sundararajan	1
Jun Zhu	Eric P. Xing	1
Qiong Luo	Bingsheng He	1
Ozgur Ulusoy	Hakan Yilmaz	1
Mark Melton	John Clear	1
Yi-Leh Wu	Amr El Abbadi	2
Michael Garland	Jiawei Han	1
Ramana Venkata	Ramesh Subramonian	1
Kyoosang Cho	Yugyung Lee	1
Pang-Ning Tan	Jerry Scripps	2
Yajun Wang	Siyu Yang	1
Sitaram Asur	Duygu Ucar	1
Bamshad Mobasher	Chad Williams	2
Raymond Lieu	Christina Yip Chung	1
Yanyong Zhang	Hui Xiong	1
Kristina Star	I. Ralph Edwards	1
Makoto Sato	Shuichiro Imahara	1
Thomas A. J. Schweiger	Xiaowei Xu	1
Ning Shan	Nick Cercone	2
Aurelie C. Lozano	Hongfei Li	1
Robert Hall	Aron Culotta	1
Steven Greco	Juan-Carlos Jusem	1
Moustafa Ghanem	Vasa Curcin	1
Issei Sato	Minoru Yoshida	1
Ben Kao	Tony S. H. Lee	1
Henk Ernst Blok	Henk M. Blanken	1
Mi-Yen Yeh	Jen-Wei Huang	1
Mark Brodie	Hui Xiong	1
Wenyin Liu	Fengshan Bai	1
Marie-Christine Rousset	Alexandre Termier	3
Chen Chen	Xifeng Yan	3
Chun Jin	Jian Zhang	1
Usama M. Fayyad	Kristin P. Bennett	1
Sridhar Ramaswamy	Gregory Piatetsky-Shapiro	1
Tom Brijs	Koen Vanhoof	2
Diane Kelly	W. Bruce Croft	1
Zhihua Zhang	Gang Wang	1
Ira Assent	Ralph Krieger	4
Dongqing Yang	Shojiro Nishio	1
Adrian Silvescu	Oksana Yakhnenko	1
Jing Wu	Naphtali Rishe	1
Stella Gatziu	Hans Fritschi	1
Jia-Yu Pan	Eric P. Xing	1
Henk Ernst Blok	Franciska de Jong	1
Bruno M. Fonseca	Berthier A. Ribeiro-Neto	2
Jian Pei	Guozhu Dong	1
Dan Sommerfield	Ron Kohavi	3
Hideto Yokoi	Trong Dung Nguyen	1
Jana Dittmann	Maik Schott	1
Darcy A. Davis	Albert-Laszlo Barabasi	1
Michel Schneider	Kamalakar Karlapalem	1
Hiroshi Motoda	Fuminori Adachi	1
Usama M. Fayyad	Paul S. Bradley	4
Thodoris Tsotsos	Yannis Petrakis	1
Marc Sobel	Rajagopal Venugopal	1
Karin Kailing	Claudia Plant	1
Aleksander Kolcz	Wen-tau Yih	1
Rongqing Lu	C. K. Wong	1
H. Douglas Moser	W. Addison Woods	1
Belle L. Tseng	Ka Cheung Sia	1
Carmel Domshlak	Amnon Meisels	1
Boon Chuan Pang	Tze-Yun Leong	1
Andrew McCallum	Gregory Druck	1
Prem Melville	Ioana M. Boier-Martin	1
Yiyu Yao	Mingxin Huang	1
Dennis Hoover	Harris Drucker	1
Murat Dundar	E. Daniel Hirleman	1
George Mayritsakis	Penelope Markellou	1
Robert Grossman	Mohammed Javeed Zaki	1
Minoru Kanehisa	Hiroshi Mamitsuka	1
Liuzhong Yang	Tao Li	1
Belle L. Tseng	Larry Heck	1
Jean-Pierre Kocher	Rui Kuangy	1
Amanda Clare	Luc Dehaspe	1
Olga Kapitskaia	Luc Bouganim	1
Ronen Feldman	Amihood Amir	1
Gene Alexander	Huan Liu	1
Philip S. Yu	Jun Yang	1
Mumtaz Ahmad	Kamesh Munagala	1
Edward A. Fox	Gui-Rong Xue	1
Kenneth De Jong	Lance Sherry	1
Savitha Srinivasan	Eric W. Brown	1
Khalid Al-Kofahi	Chris Kreilick	1
Victor Muntes-Mulero	Dave Sharpe	1
Wei-Cheng Lai	Beitao Li	1
Soumen Chakrabarti	Sayali Kulkarni	1
Eric SanJuan	Fidelia Ibekwe-Sanjuan	1
Alexander Tuzhilin	Ke Wang	1
David J. DeWitt	Raghu Ramakrishnan	1
James Ford	Sheng Zhang	1
Dongyi Ye	Tao Li	1
Edgar Sommer	Dietrich Wettschereck	1
Ross Sparks	Jiuyong Li	1
Nathan Nan Liu	Qiang Yang	1
Zach Zakharian	Steve Selvaggio	1
Jiajin Huang	Ning Zhong	1
Ana L. N. Fred	Anil K. Jain	1
Kumar K. Tamma	Ramdev Kanapady	1
Gagan Agrawal	Srinivasan Parthasarathy	1
Yi Zhang	Arun C. Surendran	1
Aristides Gionis	Luca Becchetti	1
Rob Powers	Ira Cohen	1
Sureyya Tarkan	Tanya Clement	1
Jianhua Feng	Guoliang Li	2
Ting Wang	Mudhakar Srivatsa	1
Jordi Nin	Norbert Martinez-Bazan	1
Jian Pei	Jeffrey Xu Yu	1
Paul Krzyzanowski	Abhaya Asthana	1
Jyh-Jong Tsay	Ching-Han Lin	1
Cesar Llamas	Guido Garcia	1
Yonatan Aumann	Amir Zilberstein	1
Jameel Syed	Anthony Rowe	1
Naphtali Rishe	Clement T. Yu	3
Chuck Baldwin	Ghaleb Abdulla	1
Wei-Cheng Lai	Edward Y. Chang	1
Belle L. Tseng	Junghoo Cho	1
Amit Singhal	Raj D. Iyer	1
Takahiro Hara	Kotaro Nakayama	1
Mark D. Smucker	James Allan	1
Christian W. Omlin	Eric J. Glover	1
Sheng Ma	Feng Liang	1
Dan He	Peng Zhang	1
Joonas Kukkonen	Patrik Floreen	1
Il-Yeol Song	E. K. Park	4
Klaudia Hergula	Theo Harder	1
Chin-Wan Chung	Ho-Hyun Park	1
Edward A. Fox	Altigran Soares da Silva	1
Catherine Baudin	Scott B. Huffman	1
Wesley W. Chu	Frank Chiu	1
Li-min Liu	Michael Halper	1
Petteri Nurmi	Wray Buntine	1
Wenliang Du	Zutao Zhu	1
Ozgur Simsek	Henry G. Goldberg	1
Malika Mahoui	William John Teahan	1
Takeya Mukaigaito	Kawamae Noriaki	1
Pavan Reddivari	Joel Sachs	1
Raymond Chi-Wing Wong	Jiuyong Li	1
Jian Pei	Chun Chen	1
I. Cid	Miguel Rocha	1
Foster Provost	Panagiotis G. Ipeirotis	1
Zhen Guo	Eric P. Xing	1
James T. Kwok	Andras Kocsor	1
Dawei Liu	Yingyi Bu	1
Kristen Parton	Kathleen R. McKeown	1
Lei Chang	Hua Luan	1
Douglas M. Campbell	Stephen W. Liddle	2
Sameep Mehta	S. Srinivasan	1
William W. Cohen	Haym Hirsh	1
Ricardo da Silva Torres	Alexandre X. Falcao	1
Willi Klosgen	Tom Khabaza	1
Lawrence W. Dowdy	Amy W. Apon	1
Jian-Tao Sun	Kwok-Yan Lam	1
Gary William Flake	Eric J. Glover	1
David N. Milne	Ian H. Witten	3
Lei Zhang	Kefeng Deng	1
Shuyi Zheng	Di Wu	1
Leonard McMillan	David Threadgill	2
Marianne Mueller	Alexander Kurz	1
Koustuv Dasgupta	Amit Anil Nanavati	1
Philip L. Tilker	Kevin Harris	1
Nathan C. Hiers	David J. Gagne II	1
Aashu Virmani	Tomasz Imielinski	1
Tu Minh Phuong	Kwang Hyung Lee	1
Kristina Stripling	Philip J. Bernhard	1
Marcos Andre Goncalves	Adriano M. Pereira	1
Kerstin Bach	Klaus-Dieter Althoff	1
Doron Rotem	Kesheng Wu	1
Berthier A. Ribeiro-Neto	Bruno Possas	2
Wei Peng	Sheng Ma	1
N. Liusternik	Ehud Gudes	1
Brian J. Taylor	Andrew S. Fast	1
Rebecca Cathey	Nazli Goharian	1
Lawrence H. Reeve	Jonathan C. Yang	1
Berthier A. Ribeiro-Neto	Altigran Soares da Silva	5
Marianne Mueller	Stefan Kramer	1
Christos Faloutsos	Kevin S. McCurley	1
Marko Krema	Rayid Ghani	1
Marcos Andre Goncalves	Weiguo Fan	3
Chowdhury Farhan Ahmed	Young-Koo Lee	1
R. Avedon	J. Pierre	1
Minghua Zhang	Mong-Li Lee	1
Qi Tian	C. C. Tchoyoson Lim	1
Sheng Ma	Mark Brodie	1
Libo Chen	Ulrich Thiel	1
Xiaojing Yuan	Kun Zhang	2
Dik Lun Lee	Stephen Chi-fai Chan	1
Xiaojing Yuan	Xiangshang Li	1
Helen Mortensen	Ronald Greeley	1
Jenny Chiang	Krzysztof Koperski	1
Hongjun Lu	Xuanhui Wang	1
Thomas L. Griffiths	Michal Rosen-Zvi	1
Ana Gabriela Maguitman	Filippo Menczer	1
Chaitanya Chemudugunta	Padhraic Smyth	2
Pascal Frossard	Eric Bouillet	1
Sandeep Pandey	Torsten Suel	1
Jungsoon P. Yoo	Annaka Kalton	1
Isidore Rigoutsos	Bruce A. Shapiro	1
Sheng Ma	Genady Grabarnik	2
Xiaoxun Zhang	Honglei Guo	1
Yiming Yang	Jian Zhang	1
Jayant Kalagnanam	Amit J. Shah	1
Joonas Kukkonen	Peter Peltonen	1
Marcos Andre Goncalves	Pavel Calado	5
Deepayan Chakrabarti	Dharmendra S. Modha	1
Christos Faloutsos	James McCann	1
Nazim H. Madhavji	Charles X. Ling	2
David Locke	Steve Vejcik	1
Maarten de Rijke	Jaap Kamps	2
Bart Goethals	Jan Van den Bussche	2
Anupam Joshi	Gautam Das	1
Sholom M. Weiss	Nitin Indurkhya	1
Udo Grimmer	M. Wieczorek	1
Blayne Field	Gang Fang	1
Prem Melville	Maytal Saar-Tsechansky	1
DongPing Fang	John Chen	1
Michael Herscovici	Aya Soffer	1
Hanghang Tong	Yehuda Koren	1
A. Kumaran	K. Saravanan	1
Xue Li	Yi Ding	1
Henry F. Korth	Eliezer Levy	1
Andrei Z. Broder	Aris Anagnostopoulos	2
David Buttler	Terence Critchlow	1
Sheng Ma	Ramendra K. Sahoo	1
Berthier A. Ribeiro-Neto	Luciano R. S. de Lima	1
Ronen Feldman	Haym Hirsh	1
Zach Zakharian	Jutta Kreys	1
Ian H. Jarman	Wael El-Deredy	1
Silvio Lattanzi	Flavio Chierichetti	1
Andrew McCallum	Limin Yao	1
Bamshad Mobasher	Honghua Dai	1
Gholamreza Nakhaeizadeh	H. Jeromin	1
Marco Cammisa	Roberto Basili	1
Haixun Wang	Naoki Abe	1
Haifeng Chen	Cristian Ungureanu	1
Sunita Sarawagi	Anuradha Bhamidipaty	1
Ronen Feldman	Moshe Fresko	3
Marko Bohanec	Bojan Cestnik	1
Kamesh Munagala	Ashraf Aboulnaga	1
Cheng Hian Goh	Michael Siegel	1
Carla E. Brodley	Jennifer G. Dy	1
Angelo Ciaramella	Diego di Bernardo	1
Nicholas Kushmerick	Rinat Khoussainov	1
Huidong Jin	Ada Wai-Chee Fu	1
Paolo Tiberio	Riccardo Martoglia	1
Foster J. Provost	John M. Aronis	2
Karen C. Davis	Shobha Ravishankar	1
Xiaoyan Zhu	Feng Jing	1
Maarten de Rijke	Krisztian Balog	1
Teruaki Homma	Fuminori Adachi	1
Nematollaah Shiri	Mihail Halachev	1
Wang-Chien Lee	Qinglong Hu	2
David Fuhry	Feodor F. Dragan	2
Berthier A. Ribeiro-Neto	David Fernandes	1
Mitsunori Ogihara	Shenghuo Zhu	3
Yi-Leh Wu	Divyakant Agrawal	2
Yuanzhen Wang	Tieyun Qian	1
Douglas H. Fisher	Douglas A. Talbert	1
Toni Bollinger	John C. Shafer	1
James H. Martin	Wayne Ward	1
Hong Wang	Wen-Chi Hou	1
Yueting Zhuang	Lei Chen	1
Kave Eshghi	Charles B. Morrey	1
M. Tamer Ozsu	Duane Szafron	4
Matthias Nicola	Jasmi John	1
Myra Spiliopoulou	Ron Kohavi	1
Ke Wang	Jiawei Han	2
Bernhard Bruhl	Christoph M. Friedrich	1
Li Wan	Yanfang Ye	1
Patrick Valduriez	Philippe Lamarre	1
Michael Kifer	I. V. Ramakrishnan	1
Yew Kwong Woon	Wee Keong Ng	1
Loick Lhote	Francois Rioult	1
Michlean J. Amir	Ophir Frieder	1
Yi-Leh Wu	Edward Y. Chang	1
Mukesh K. Mohania	Shree Raman	1
Agma J. M. Traina	Eric P. Xing	1
Dakshi Agrawal	Ling Liu	1
Bilel Gueni	Emmanuel Waller	1
Sanghyun Park	Khalil Amiri	1
Christopher Jeris	Tom Chiu	1
Shuicheng Yan	Wei-Ying Ma	3
HongJiang Zhang	Xian-Sheng Hua	1
Kenneth W. Ng	John D. Farrara	1
Uma Mahadevan	D. Sivakumar	1
Daniel Glez-Pena	L. R. Janeiro	1
Angelo Ciaramella	Ciro Donalek	1
Matthew Richardson	Sonal Gupta	1
Steve Lawrence	Finn Arup Nielsen	2
Benjamin Auffarth	Maite Lopez	1
Jon M. Kleinberg	Ravi Kumar	1
Bing Liu	Robert L. Grossman	1
Rui Cai	Feng Jing	1
Jaturon Chattratichat	Harald Huning	1
Betul Ceran	Qi Li	1
Yang Song	C. Lee Giles	3
Marcus Fontoura	Chavdar Botev	1
Grigoris J. Karakoulas	Ruslan Salakhutdinov	1
Maarten de Rijke	Eugenio Oliveira	1
Eric Bloedorn	Daniel Venese	1
Jonathan I. Maletic	Andrian Marcus	1
Susan T. Dumais	Eric Horvitz	1
James Bailey	Thomas Manoukian	1
Justin Zobel	William Webber	1
Yi-Leh Wu	Beitao Li	1
Matthew Miller	Salvatore J. Stolfo	1
Wook-Shin Han	Ki-Hyung Hong	1
Rachit Arora	Balaraman Ravindran	1
Jin Zhang	Xueqi Cheng	1
Daxin Jiang	Zhen Liao	1
Takashi Tomokiyo	Kamal Nigam	1
Elias Pampalk	Werner Goebl	1
Jonathan R. M. Hosking	Claudia Perlich	1
Lei Zhang	Julien Etienne	1
Andreas Karwath	Amanda Clare	1
Haidong Wang	Gautam Das	1
Rod Hook	Alan Murray	1
Giuseppe Pozzi	Carlo Combi	1
Zhiqiang Zheng	Haoqiang Zheng	1
Shahram Ghandeharizadeh	Doug Ierardi	1
Reiner Kraft	Utku Irmak	1
Zheng Chen	QianSheng Cheng	1
Sureyya Tarkan	Anthony Don	1
Wang-Chien Lee	Huajing Li	2
Yong Shi	Rong Liu	1
Srinivasan Jagannathan	Jayanth Nayak	1
Fred Douglis	Lakshmish Ramaswamy	1
Tsegaye Tadesse	Jitender S. Deogun	1
Christos Faloutsos	Kensuke Onuma	1
Trivikraman Thampy	Andrew Caplin	1
Wai Gen Yee	Ratko Orlandic	1
Jun Liu	Liang Sun	1
Val Tannen	Su-Shing Chen	1
Shiyong Lu	Stephen A. Krawetz	1
Philip S. Barry	Jianping Zhang	1
Ken Ueno	Dah-Jye Lee	1
Robert Perneczky	Alexander Kurz	1
Gyorgy Horvath	Roland Olsson	1
Wei Fan	ErHeng Zhong	2
Panayiotis Tsaparas	John C. Shafer	1
Raymond J. Mooney	Maytal Saar-Tsechansky	1
Eric Bloedorn	Lowell Rosen	1
Gang Wang	Hui Zhang	1
Zhihua Zhang	Edward Y. Chang	1
Chabane Oussalah	Dalila Tamzalit	1
Stephen E. Robertson	Hugo Zaragoza	1
Madhu Kurup	Filip Radlinski	1
Biswanath Panda	Johannes Gehrke	1
David Heckerman	Igor V. Cadez	1
Nicolas Maillot	Jean-Pierre Chevallet	1
Klaus R. Dittrich	Werner Dreyer	1
Duminda Wijesekera	Difu Su	1
Sergey A. Orshanskiy	Hongyuan Zha	1
Miu K. Tsang	Kun-Lung Wu	1
Miu K. Tsang	Philip S. Yu	1
Mohamed Kamel	Shady Shehata	1
James C. French	Allison L. Powell	2
Wei-Guang Teng	Ming-Jyh Hsieh	1
Xin Li	Nawaaz Ahmed	1
Laura K. Dillon	Ron Dolin	1
Wang-Chien Lee	Ken C. K. Lee	2
William T. Morgan	Warren R. Greiff	1
Rene Banares-Alcantara	Weiqi Wang	1
Uri Eick	Nurit Vatnik	2
Thomas Lindblad	Gyorgy Horvath	1
Qiong Huang	Jiying Wang	1
Gunther Pernul	Torsten Priebe	1
Marc Maier	John Komoroske	1
Ryen W. White	Srivatsan Laxman	1
Pierre Geurts	Ibtissam El Khayat	1
Ravi Kumar	Andrei Z. Broder	1
Jue Wang	Ning Zhong	1
Constantin F. Aliferis	Ioannis Tsamardinos	2
Sandra Bringay	Julien Rabatel	1
Natalie S. Glance	Jeanne VanBriesen	1
Thierry Delot	Abdelghani Ridaoui	1
Philip S. Yu	Stephen C. Gates	1
Anupam Joshi	R. Scott Cost	1
S. Leung	W. Lam	1
Peter Bruza	Jing Bai	1
Huei-Long Wang	Wei Kuan Shih	1
Ira Assent	Emmanuel Muller	4
Jamil Saquer	Jitender S. Deogun	1
Qiang Yang	Chenyong Hu	1
Pu Wang	Jian Hu	2
I. Ralph Edwards	Andrew Bate	1
Diego di Bernardo	Antonino Staiano	1
Zhong Su	Yue Pan	1
Amit J. Shah	Swaroop K. Chalasani	1
Jue Wang	Jian Yang	1
Matthew O. Ward	Elke A. Rundensteiner	1
Qiankun Zhao	Kai Yi	1
Qiang Yang	Ian Tian Yi Li	1
Sureyya Tarkan	Loretta Auvil	1
Rick Pechter	Wayne Thompson	1
Karin Kailing	Peer Kroger	2
Naizhen Qi	Hamid Pirahesh	1
Qiang Yang	Martin Scholz	1
Gregory Druck	Chris Pal	1
Javed A. Aslam	Virgiliu Pavlu	1
Robert Krovetz	Frans Coetzee	1
Jeffrey Xu Yu	Zheng Liu	1
David D. Lewis	Robert E. Schapire	1
David A. Bell	Dayou Liu	2
Dulce B. Ponceleon	Arnon Amir	1
Oliver Schulte	Hui Xiong	1
Bamshad Mobasher	Chuan Duan	1
Constantin F. Aliferis	Alexander R. Statnikov	2
Paul R. Cohen	Brent Heeringa	1
Sourav S. Bhowmick	Tie-Yan Liu	1
Ozgur Simsek	Kelly Palmer	1
Constantin Filote	Calin Ciufudean	1
Melanie Chams	Thomas Lee	1
Anna Monreale	Fabio Pinelli	1
Georgia Koloniari	Yannis Petrakis	1
Sumit K. Sanghai	Nilesh N. Dalvi	1
Marcos Andre Goncalves	Adriano Veloso	1
Panayiotis Tsaparas	Risto A. Vaisanen	1
Spencer Thomas	Elke A. Rundensteiner	1
Kun Bai	Peng Liu	1
Alistair Moffat	Donald Metzler	1
Kristina Toutanova	Kris Popat	1
David Jensen	Kelly Palmer	1
Qiang Yang	Yunhong Zhou	1
Claudia Perlich	Yan Liu	1
Adrian Santoso	Clement T. Yu	1
Josep-Lluis Larriba-Pey	Victor Muntes-Mulero	1
Stephen J. Maybank	Xindong Wu	2
Srinivasan Venkatesh	Manuel Tamashiro	1
Dongmei Jia	Ophir Frieder	1
Anthony K. H. Tung	Mohammed Javeed Zaki	1
Manjeet Rege	Jing Hua	1
Ramez Elmasri	Abdelsalam Helal	1
Julien Blanchard	Fabrice Guillet	2
Hongyuan Zha	John Yen	1
Roman Schmidt	Brahmananda Sapkota	1
Thomas R. Willemain	Laurie B. Waisel	1
Shunsuke Uemura	Yasushi Sakurai	1
Thomas Tesch	Jurgen Wasch	1
Michlean J. Amir	Gideon Frieder	1
Sholom M. Weiss	Shubir Kapoor	1
Bing Liu	Kristina Lisa Klinkner	1
Bilahari Akkiraju	Sunil Movva	1
Alistair Moffat	Yaniv Bernstein	1
Haofeng Zhou	Wei Wang	1
Maxim Kormilitsin	Timo J. Salo	1
Xiaoyun Wu	Xiaofei He	1
Shichao Zhang	Jilian Zhang	1
Mirek Riedewald	Daria Sorokina	1
George Karypis	Eui-Hong Han	3
Ruben H. Zamar	Fatemah A. Alqallaf	1
Sourav S. Bhowmick	Vivek Vedagiri	1
Sriram Krishnan	Philippe Lambin	1
Lei Chen	Shaoxu Song	1
Ian W. Flockhart	Nicholas J. Radcliffe	1
Arthur Zimek	Hans-Peter Kriegel	3
Nam-Hee Hong	Ho-Hyun Park	1
Tatsuya Asai	Kenji Abe	1
Shady Elbassuoni	Julia Luxenburger	1
Jun Hua Zhao	Pei Zhang	1
Radu Stefan Niculescu	R. Bharat Rao	1
Tatsuya Asai	Setsuo Arikawa	1
Jens-Peter Dittrich	Bernhard Seeger	1
Nikola S. Muller	Katrin Haegler	1
Gong Chen	Xindong Wu	1
Michael J. Taylor	Hugo Zaragoza	2
Guofei Gu	Roberto Perdisci	1
IlYoung Chung	JongMin Lee	1
Fatemah A. Alqallaf	R. Douglas Martin	1
S. Leung	Jian Zhang	1
Sam Kwong	Hanli Wang	1
Ira Assent	Markus Peters	1
Jie Huang	Margaret H. Dunham	1
Jie Tang	Jimeng Sun	1
Pasumarti Kamesam	Edna Grossman	1
Obi L. Griffith	Steven J. M. Jones	1
Daniel Jurafsky	James H. Martin	1
Amit Sasturkar	Anirban Dasgupta	1
Daniel Wu	Terence R. Smith	1
Jun Wang	Les Gasser	1
Jian Tang	San-Yih Hwang	1
Roman Schmidt	Manfred Hauswirth	1
Rui Li	Yunbo Cao	1
Qi Zhang	Leonard McMillan	1
Khalid Al-Kofahi	Tim Travers	1
Hongyuan Zha	Bingjun Sun	1
Robert E. Schapire	Yoram Singer	1
Rich Holada	Erik Marcade	1
Leonardo Weiss Ferreira Chaves	Klemens Bohm	1
M. Erol Arkun	Reda Alhajj	1
Joseph Malvehy	Elisabet Golobardes	1
Yoelle S. Maarek	Vladimir Soroka	1
Jiying Wang	Frederick H. Lochovsky	1
Robin N. Shaw	Brian Garner	1
Jeroen S. de Bruin	Joost N. Kok	1
Ruchaneewan Susomboon	Daniela Raicu	1
Melody Xu	Lars Rohrberg	1
Roberto Amato	Ciro Donalek	1
Natalie S. Glance	Andreas Krause	1
Vassilis Plachouras	Evgeniy Gabrilovich	1
Jian Pei	Bin Jiang	1
Bart Selman	Brian Kulis	1
Jonathan Tang	Youxuan Jin	1
Rui Li	Zhijun Yin	1
Tingkai Sun	Jing-Yu Yang	1
Genady Grabarnik	Joseph L. Hellerstein	2
Murat Dundar	Arun K. Bhunia	1
Yi-fang Brook Wu	Xin Chen	4
Seung-Taek Park	Nathan Good	1
Michael R. Berthold	Erik Marcade	1
Michael R. Berthold	Bernd Wiswedel	1
Jameel Syed	Martin Kohler	1
Gregory Buehrer	Amol Ghoting	1
Kamal Nigam	Robert Stockton	1
Aris M. Ouksel	Clement T. Yu	1
Chun Kit Chui	Reynold Cheng	1
Yongun Yoon	Hyongmuk Lim	1
James Bailey	Kotagiri Ramamohanarao	1
Foster Provost	Brian Dalessandro	1
Leonard McMillan	Adam Roberts	1
Philip S. Yu	Hanghang Tong	1
Jason J. Soo	Rebecca Cathey	1
Wang-Chien Lee	Josh Schiffman	1
Hetal Thakkar	Chang Luo	1
Zheng Chen	Jun Yan	12
Siva Gurumurthy	Amit Anil Nanavati	1
Manolis Platakis	Dimitrios Gunopulos	1
Rob Laubacher	Peter A. Gloor	1
Justin Zobel	W. Bruce Croft	1
Stephen J. Buckley	Soren Damgaard	1
Si Quang Le	Tu Bao Ho	1
Jon M. Kleinberg	David Kempe	1
Rod Hook	Xiaohan Zhang	1
Min Bae	Huan Liu	1
Rong She	Fiona S. L. Brinkman	1
Willi Klosgen	Ronen Feldman	2
Murat Dundar	Bartek Rajwa	1
Derek A. Robinson	Evan W. Steeg	1
Jorn Bakker	Tommi Karkkainen	1
Henry Haining Zhang	Ian Tian Yi Li	1
Jian Pei	Hang Li	2
Alexander Tuzhilin	Michele Gorgoglione	1
Robert Perneczky	Alexander Drzezga	1
Jian Tang	Jari Veijalainen	1
Teddy N. Yap Jr	Arnulfo P. Azcarraga	1
Margaret H. Dunham	Zhigang Li	1
Ross Sparks	Graham J. Williams	1
