author1	author2	#coauthor
Francisco Martinez-Alvarez	Jose C. Riquelme	1
Johann Gasteiger	J. Royce Rose	1
Jonathan J. Oliver	Wray L. Buntine	1
Xiong Wang	Jason Tsong-Li Wang	2
David N. Milne	Anna Huang	1
Nilesh N. Dalvi	Deepak Verma	1
Hua-Fu Li	Yi-Cheng Chen	1
Michail Vlachos	Spiros Papadimitriou	1
Tengjiao Wang	Dongqing Yang	1
Regis Gras	Henri Briand	1
Zhilin Feng	Zhaohui Wang	1
Wenfei Fan	Xibei Jia	1
Erwin Leonardi	Sourav S. Bhowmick	2
Steven A. Harp	Hannah Blau	1
Feng Pan	Leonard McMillan	2
Ben Kao	Reynold Cheng	2
Youngil Kim	Dongwook Shin	1
Zhi-Qiang Liu	Jianyong Wang	1
David A. Evans	Igor Perisic	1
Patricia M. West	Bruce Lambert	1
Vanja Josifovski	Vassilis Plachouras	1
Xiaoli Li	Tze-Yun Leong	1
Philippe Golle	Jessica Staddon	1
Rich Holada	Mike Hoskins	1
Rich Caruana	Nam Nguyen	3
Jiawei Han	Wen Jin	1
William Peter	John Chiochetti	1
Mihail Halachev	Anand Thamildurai	1
Hua Li	Weiguo Fan	1
Tony Fountain	Bill Sudyka	1
Satoshi Morinaga	Toshikazu Fukushima	1
Zheng Chen	Hua-Jun Zeng	8
Zheng Chen	Tao Liu	1
Mingjie Zhu	Zaiqing Nie	1
Hui Su	Shixia Liu	1
Maria L. Barja	Jussi Myllymaki	1
Finn Arup Nielsen	Frans Coetzee	1
F. Artiles	H. Jeromin	1
Corinna Cortes	Daryl Pregibon	4
Ashish Verma	Ajay Gupta	1
Hans-Henning Gabriel	Alexander Hinneburg	1
Heikki Mannila	Igor V. Cadez	1
Yong Zhao	Fen Lin	1
Michael R. Berthold	Rich Holada	1
Ashok Savasere	Mark Melton	1
Walter A. Kosters	Joost N. Kok	1
Marc Boulle	Vincent Lemaire	1
Alexander Tuzhilin	Gueorgi Kossinets	1
Jian Hu	Hua-Jun Zeng	1
Gabriele Sonnenberger	Jussi Myllymaki	1
Jing Wu	Chengwen Liu	1
Dino Pedreschi	Alessio Mazzanti	1
Xiaowei Xu	Nurcan Yuruk	1
Terran Lane	Carla E. Brodley	1
Saori Kawasaki	Trong Dung Nguyen	1
Karl Schultz	Khashayar Rohanimanesh	1
Eric Reiman	Zheng Zhao	1
Vipin Swarup	Jeff Hoyt	1
Siva Gurumurthy	Gautam Das	1
Rajeev Rastogi	Dongjoon Hyun	1
Chun-Nan Hsu	Yu-Ming Chang	1
Gianni Mainetto	Dino Pedreschi	1
Victor B. Zordan	Bill Yuan-chi Chiu	1
Feng Pan	Lynda Yang	1
Ludmila Cherkasova	Joseph Tucek	1
Rina Panigrahy	Andrew Tomkins	1
Rohit Gupta	Vipin Kumar	2
Timm Euler	Martin Scholz	1
Philippe Lambin	R. Bharat Rao	1
Kelly Palmer	Henry G. Goldberg	1
Jan Ramon	Dries Van Dyck	1
Wolfgang Nejdl	Christian Kohlschutter	1
Einat Neumann	Saharon Rosset	4
Terrence Mason	Ramon Lawrence	1
Art Munson	Wesley M. Hochachka	1
Carson Kai-Sang Leung	Quamrul I. Khan	2
Koji Hino	Xiaodan Song	2
Carsten Tusk	Krzysztof Koperski	1
Yi Zhang	W. Nick Street	2
Weimin Xiao	Jeffrey Benkler	2
Benny Kimelfeld	Yaron Kanza	1
Ki Yong Lee	Jin Hyun Son	1
Robert Krovetz	David M. Pennock	2
Inderjit S. Dhillon	Dharmendra S. Modha	2
Jerome David	Fabrice Guillet	1
Rina Panigrahy	Rajeev Motwani	1
Steve B. Jiang	Gregory C. Sharp	1
Rong Pan	Nathan Nan Liu	1
Jing Gao	Mohammad M. Masud	1
Daniela Rus	Katya Pelekhov	2
Alberto H. F. Laender	Davi de Castro Reis	1
Tetsuya Nasukawa	Wayne Niblack	1
Dimitrios Gunopulos	Maria Halkidi	1
Licia Capra	Daniele Quercia	1
Bonnie J. Dorr	Yahui Chang	1
John Kolojejchick	Mark Derthick	1
Spiros Papadimitriou	Hanghang Tong	1
Fabian M. Suchanek	Georgiana Ifrim	1
Yao Wang	Tom Chiu	1
Markus Tresch	Allen Luniewski	1
Ramanathan V. Guha	Ravi Kumar	2
Yunbo Cao	Shengliang Xu	1
Pasumarti Kamesam	Dimitrios Gunopulos	1
Shuqing Huang	Yixin Chen	1
Inderjit S. Dhillon	Yuqiang Guan	4
Jianyong Wang	Jiawei Han	3
